customer_id,customer_name,reg_date
1,Aryan Maharaj,2024-03-27
2,Harsh Chahal,2025-04-10
3,Ayushman Chander,2024-02-27
4,Rushil Saini,2024-02-29
5,Abeer Dutta,2025-08-06
6,Arunima Dugal,2024-02-23
7,Harsh Chanda,2024-08-22
8,Hemangini Lalla,2025-12-03
9,Jeet Radhakrishnan,2023-09-27
10,Janaki Handa,2025-08-13
11,Vedant Mann,2026-06-16
12,Harrison Rai,2024-05-02
13,Nicholas Prabhakar,2024-07-26
14,Ekbal Garg,2025-02-07
15,Nihal Shere,2024-08-21
16,Ekta Bhalla,2024-03-10
17,Diya Rattan,2024-04-21
18,Divya Kala,2025-06-20
19,Tara Dhar,2024-04-18
20,Adya Sangha,2026-03-13
21,Janaki Kanda,2026-06-30
22,Yashodhara Tak,2023-10-10
23,Imaran Dua,2025-05-20
24,Devansh Rajan,2024-08-24
25,Zayan Apte,2025-07-17
26,Amara Oak,2023-11-02
27,Nakul Setty,2023-07-06
28,Xiti Gokhale,2025-01-09
29,Chanchal Tripathi,2025-04-30
30,Kashvi Edwin,2025-02-13
31,Ekiya Suresh,2023-07-24
32,Damyanti Khatri,2023-09-04
33,Frederick Sunder,2025-12-13
34,Kabir Soman,2026-05-05
35,Alka Wable,2026-02-13
36,Siddharth Zacharia,2025-10-07
37,Devika Rastogi,2026-06-27
38,Raksha Varughese,2024-11-08
39,Umang Bhatt,2024-07-07
40,Thomas Amble,2023-09-18
41,Veer Bir,2026-03-21
42,Ekavir Varkey,2024-03-19
43,Tanish Zacharia,2023-11-25
44,Xavier Solanki,2025-12-04
45,Girindra Chatterjee,2025-06-24
46,Pallavi Roy,2024-11-25
47,Guneet Bhat,2024-09-16
48,Ikbal Kothari,2024-01-28
49,Logan Sami,2024-01-20
50,Zaid Borra,2024-10-30
51,Chandresh Zachariah,2026-01-04
52,Warjas Ganesan,2024-09-20
53,Tanay Rattan,2026-03-18
54,Ladli Agate,2026-06-16
55,Suhani Mangal,2024-10-08
56,Mohammed Gupta,2024-05-23
57,Darsh Murthy,2023-09-03
58,Yadavi Wali,2023-12-22
59,Quincy Biswas,2025-04-15
60,Netra Dar,2026-04-29
61,Balveer Bumb,2024-10-04
62,Advika Jayaraman,2025-07-06
63,William Lanka,2024-09-08
64,Tanvi Mutti,2026-04-16
65,Aditya Shanker,2025-05-13
66,Ethan Yogi,2024-02-21
67,Kevin Palla,2026-02-22
68,Kala Mane,2023-12-22
69,Abhiram Mistry,2026-04-19
70,Krish Lalla,2023-11-06
71,Nachiket Magar,2024-05-06
72,Hemal Jani,2025-07-25
73,Yashasvi Suresh,2024-04-03
74,George Sampath,2025-12-27
75,Aarush Nath,2025-10-25
76,Neel Sathe,2025-02-26
77,Aditya Choudhury,2023-09-23
78,Balendra Pingle,2025-04-01
79,Qushi Datta,2023-08-17
80,Balveer Parmar,2024-02-18
81,Harshil Pandya,2025-11-04
82,Mohammed Khalsa,2026-02-04
83,Nitara Bakshi,2024-01-15
84,Nisha Kothari,2024-04-20
85,Lavanya Barad,2026-01-29
86,Ryan Sharma,2024-07-20
87,Udant Bajwa,2025-06-25
88,Falguni Mallick,2026-02-04
89,Indali Upadhyay,2024-09-13
90,Ayaan D’Alia,2026-02-18
91,Pranav Lanka,2023-08-13
92,Hemani Murthy,2024-10-23
93,Lekha Gupta,2024-04-07
94,Aarav Venkatesh,2026-04-12
95,Januja Sankar,2023-09-17
96,Dipta Dash,2025-08-29
97,Yashica More,2025-07-02
98,Neha Merchant,2025-03-01
99,Osha Raghavan,2025-07-14
100,Charvi Ravi,2025-02-22
101,Daksha Mangat,2024-02-18
102,Udyati Sathe,2024-10-29
103,Yasti Solanki,2025-11-18
104,Frado Mander,2025-01-17
105,Girik Keer,2025-07-09
106,Rushil Din,2023-07-29
107,Vaishnavi Bora,2024-11-13
108,Leena Talwar,2024-09-13
109,Abdul Chhabra,2025-11-02
110,Patrick Vasa,2024-11-23
111,Jairaj Shan,2023-11-26
112,Edhitha Savant,2025-05-04
113,Sanaya Dutt,2025-09-25
114,Shivani Lad,2025-10-03
115,Vedhika Khare,2024-04-28
116,Bhavika Keer,2024-04-25
117,Faris Devi,2023-12-15
118,Michael Kala,2023-09-11
119,Ganga Shukla,2024-09-30
120,Osha Ramachandran,2026-03-20
121,Lajita Sood,2023-07-09
122,Chanchal Ramakrishnan,2026-01-23
123,Thomas Sura,2024-02-28
124,Vedika Balakrishnan,2024-09-01
125,Noah Sibal,2026-04-05
126,Meera Bala,2023-10-03
127,Krishna Shenoy,2024-01-18
128,Ladli Narang,2024-02-19
129,Geetika Raghavan,2024-05-02
130,Zayyan Bumb,2024-11-29
131,Inaya Kapur,2025-06-14
132,Azaan Kota,2024-02-06
133,Michael Khare,2023-11-18
134,Tejas Shroff,2025-08-07
135,Oliver Contractor,2025-11-01
136,Deepa Chokshi,2025-03-28
137,Keya Ranganathan,2026-04-29
138,Faqid Kibe,2023-10-22
139,Jai Barman,2024-07-17
140,Kamala Biswas,2025-01-07
141,Advik Salvi,2025-12-20
142,Rachita Pathak,2025-05-29
143,Michael Saran,2024-01-12
144,Veda Shroff,2024-10-22
145,Ekantika Korpal,2025-12-29
146,Arya Seshadri,2024-03-26
147,Ladli Nayar,2023-08-03
148,Qabil Sura,2024-02-20
149,Harini Mammen,2026-02-21
150,Advaith Varughese,2026-05-07
151,Wyatt Ray,2024-12-19
152,Vamakshi Swaminathan,2024-11-05
153,Girik Menon,2024-03-01
154,Damini Pillay,2024-12-02
155,Pavani Narayanan,2024-07-22
