rider_id,rider_name,sign_up
1,Zinal Dada,2024-01-12
2,Bimala Balakrishnan,2024-03-05
3,Harish Dugar,2025-10-28
4,Kritika Ravel,2025-10-19
5,Ishita Borah,2024-07-08
6,Nathan Choudhury,2025-01-13
7,Anamika Murty,2023-10-29
8,Bakhshi Padmanabhan,2024-08-28
9,Vamakshi Halder,2024-01-25
10,Yug Bawa,2023-08-19
11,Baljiwan Narasimhan,2024-08-10
12,Sudiksha Zachariah,2023-12-15
13,Tamanna Pal,2025-05-08
14,Arunima Dugar,2023-07-13
15,Baghyawati Parikh,2025-03-11
16,Isaac Patel,2024-07-09
17,Daniel Sant,2025-10-13
18,Jason Dhar,2024-01-15
19,Chaaya Bhatnagar,2024-04-26
20,Radhika Mahal,2024-01-14
21,Darsh Mammen,2024-12-13
22,Dhruv Vala,2025-10-03
23,Vinaya Bhattacharyya,2024-05-09
24,Nandini Rau,2024-05-29
25,Elijah Nadkarni,2024-04-04
26,Kevin Borde,2026-04-12
27,Hemani Sawhney,2023-10-03
28,Arya Walla,2025-01-04
29,Xavier Banerjee,2025-08-09
30,Elijah Thaman,2024-04-25
31,Liam Sethi,2024-04-02
32,Jasmit Wable,2023-11-03
33,Watika Dhillon,2026-03-25
34,Nidra Rau,2024-08-24
35,Theodore Kannan,2023-12-21
36,Abdul Nath,2024-06-08
37,Kai Ganesan,2024-01-24
38,Faras Dara,2023-10-15
39,Darika Rau,2023-11-20
40,Ekalinga Nagy,2025-02-15
41,Bhavya Babu,2023-08-09
42,Jackson Hayer,2023-07-20
43,Oscar D’Alia,2026-01-28
44,Pushti Mahajan,2026-03-01
45,Yuvraj Maharaj,2026-05-23
46,Adya Ravel,2025-10-22
47,Orinder Srinivasan,2024-01-14
48,Vinaya Sodhi,2024-05-08
49,Sai Taneja,2026-06-26
50,Tanvi Choudhury,2025-11-28
51,Reyansh Krishnamurthy,2026-01-05
52,Owen Pai,2023-08-17
53,Panini Sanghvi,2024-06-02
54,Rajeshri Chatterjee,2023-07-07
55,Anirudh Gera,2025-10-27
56,Ekta Nori,2024-10-31
57,Champak Master,2024-01-03
58,Harini Andra,2026-05-01
59,Darpan Sood,2023-08-25
60,Dayita Rajagopal,2023-11-12
61,Aashi Bhatia,2026-03-04
62,Ishita Brahmbhatt,2026-05-23
63,Chatura Badami,2025-02-26
64,Watika Choudhury,2026-05-02
65,Saumya Karnik,2026-02-05
66,Ayushman Basu,2023-07-14
67,Gautam Chowdhury,2026-03-03
68,Radha Bera,2024-09-01
69,Faraj Walia,2024-08-21
70,Sarthak Chandran,2024-04-07
71,Arya Kata,2025-12-03
72,Frederick Vaidya,2024-08-24
73,Gaurangi Hayre,2024-10-07
74,Mugdha Devan,2023-07-18
75,Ronith Hans,2025-10-10
76,Prisha Nayak,2024-10-06
77,Balveer Raman,2024-06-24
78,Jeevika Dutt,2026-01-10
79,Vrinda Chhabra,2026-05-22
80,Wyatt Mani,2025-03-15
